Invoice_ID,Branch,City,Customer_Type,Gender,Product_Line,Unit_Price,Quantity,Tax,Total,Date,Time,Payment,Rating
INV000001,B,Mandalay,Member,Male,Food & Beverages,69.36,3,7.28,119.58,2023-08-08,18:54,Credit card,8.4
INV000002,C,Mandalay,Member,Female,Food & Beverages,35.25,1,6.62,137.13,2023-02-09,18:44,Credit card,4.3
INV000003,C,Naypyitaw,Normal,Female,Fashion Accessories,57.56,8,4.66,490.48,2023-08-24,16:16,Cash,9.6
INV000004,B,Naypyitaw,Member,Female,Food & Beverages,16.6,5,8.57,142.54,2023-02-09,11:35,Cash,4.5
INV000005,C,Yangon,Normal,Female,Food & Beverages,49.07,1,3.7,24.43,2023-07-04,8:56,Credit card,5.8
INV000006,B,Yangon,Normal,Female,Health & Beauty,16.18,3,6.09,130.92,2023-12-18,13:59,Credit card,7.3
INV000007,C,Yangon,Member,Male,Sports & Travel,70.79,9,7.82,22.96,2023-10-21,14:04,Credit card,5.2
INV000008,C,Yangon,Normal,Male,Fashion Accessories,89.48,5,1.19,29.59,2023-09-04,11:32,Credit card,5.1
INV000009,A,Yangon,Normal,Female,Home & Lifestyle,98.16,2,4.49,239.32,2023-03-30,9:52,Ewallet,6.4
INV000010,A,Naypyitaw,Normal,Male,Home & Lifestyle,40.23,5,2.56,193.85,2023-08-05,18:45,Credit card,4.9
INV000011,B,Mandalay,Member,Male,Home & Lifestyle,86.69,8,4.58,427.04,2023-09-23,17:55,Credit card,8.4
INV000012,A,Naypyitaw,Normal,Male,Sports & Travel,48.87,1,7.68,401.14,2023-06-07,16:06,Ewallet,6.0
INV000013,A,Yangon,Normal,Female,Sports & Travel,47.8,9,8.76,77.87,2023-08-05,18:37,Ewallet,8.6
INV000014,A,Naypyitaw,Normal,Female,Fashion Accessories,11.88,1,4.62,85.09,2023-09-16,8:29,Cash,7.7
INV000015,B,Naypyitaw,Member,Male,Health & Beauty,89.56,2,2.82,276.47,2023-07-23,9:14,Ewallet,9.6
INV000016,B,Mandalay,Normal,Male,Sports & Travel,89.45,5,8.5,317.8,2023-05-09,15:31,Cash,5.6
INV000017,B,Naypyitaw,Member,Male,Health & Beauty,94.09,2,6.61,299.6,2023-04-15,17:21,Credit card,4.1
INV000018,A,Mandalay,Member,Female,Food & Beverages,49.31,4,7.88,211.14,2023-12-09,17:46,Cash,6.4
INV000019,B,Naypyitaw,Normal,Female,Health & Beauty,35.87,8,3.8,267.61,2023-03-09,8:36,Credit card,5.7
INV000020,B,Yangon,Member,Male,Health & Beauty,56.03,4,1.84,223.68,2023-11-03,18:04,Cash,6.7
INV000021,A,Yangon,Normal,Female,Sports & Travel,83.78,5,5.26,110.02,2023-09-03,17:56,Cash,4.7
